name startdate enddate length diameter unit gas fix_time rock uncertainty_inlet uncertainty_outlet
HY_Z23_03 30.11.2021 03.12.2021 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_04 03.12.2021 13.12.2021 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_05 13.12.2021 15.12.2021 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_06 15.12.2021 16.12.2021 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_10 10.01.2022 14.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_11 14.01.2022 17.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_12 17.01.2022 19.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_13 19.01.2022 20.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_14 20.01.2022 21.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_15 21.01.2022 21.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_20 24.01.2022 25.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_21 25.01.2022 26.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_22 26.01.2022 28.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_23 28.01.2022 31.01.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_24 31.01.2022 01.02.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_25 01.02.2022 02.02.2022 0.11450 0.10347 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z23_30_CH4 02.02.2022 03.02.2022 0.11450 0.10347 6 CH4 7 cement 200e5*0.001 60e5*0.001
HY_Z23_31_CH4 03.02.2022 04.02.2022 0.11450 0.10347 6 CH4 7 cement 200e5*0.001 60e5*0.001
